Latitude,Longitude,Type,Second Type,Root Type
41.770975,-87.623574,Home (private),Home (private),Residence
41.736125,-87.623948,Gas Station / Garage,,
41.896599,-87.632175,Mexican Restaurant,Mexican Restaurant,Food
41.902899,-87.677441,Dive Bar,Bar,Nightlife Spot
41.919277,-87.716255,Residential Building (Apartment / Condo),Residential Building (Apartment / Condo),Residence
41.748032,-87.788834,Gas Station / Garage,,
41.880292,-87.647175,Bus Station,Bus Station,Travel & Transport
41.893558,-87.631293,Bar,Bar,Nightlife Spot
41.764438,-87.753203,Automotive Shop,Automotive Shop,Shop & Service
41.967453,-87.663736,Lounge,Lounge,Nightlife Spot
41.901704,-87.702482,Home (private),Home (private),Residence
41.944610,-87.653766,Mexican Restaurant,Mexican Restaurant,Food
41.918182,-87.652971,Breakfast Spot,Breakfast Spot,Food
41.900306,-87.633445,Home (private),Home (private),Residence
41.833521,-87.615487,Clothing Store,Clothing Store,Shop & Service
41.855056,-87.666038,Other Great Outdoors,Other Great Outdoors,Outdoors & Recreation
41.879880,-87.651319,Optical Shop,Optical Shop,Shop & Service
41.910497,-87.640685,Middle Eastern Restaurant,Middle Eastern Restaurant,Food
41.870792,-87.720391,Church,Spiritual Center,Professional & Other Places
41.766148,-87.571859,Convenience Store,Convenience Store,Shop & Service
41.722108,-87.680401,Church,Spiritual Center,Professional & Other Places
41.943052,-87.649401,Bar,Bar,Nightlife Spot
41.934342,-87.646140,Italian Restaurant,Italian Restaurant,Food
41.930465,-87.653180,Home (private),Home (private),Residence
41.790213,-87.697941,Church,Spiritual Center,Professional & Other Places
41.688509,-87.671359,Nightclub,Nightclub,Nightlife Spot
41.750415,-87.677258,Church,Spiritual Center,Professional & Other Places
41.901458,-87.632826,Factory,Factory,Professional & Other Places
41.846680,-87.621938,Emergency Room,Medical Center,Professional & Other Places
41.980817,-87.692626,Home (private),Home (private),Residence
41.820676,-87.623574,Home (private),Home (private),Residence
41.910589,-87.653159,Mediterranean Restaurant,Mediterranean Restaurant,Food
41.885482,-87.618891,Asian Restaurant,Asian Restaurant,Food
41.838340,-87.640575,Thrift / Vintage Store,Thrift / Vintage Store,Shop & Service
41.972079,-87.751729,Home (private),Home (private),Residence
41.874866,-87.627414,Bus Station,Bus Station,Travel & Transport
41.699569,-87.608961,Train Station,Train Station,Travel & Transport
41.832628,-87.611741,Historic Site,Historic Site,Arts & Entertainment
41.853484,-87.650063,Event Space,Event Space,Professional & Other Places
41.911246,-87.631529,Caf,,
41.888736,-87.802679,Cupcake Shop,Dessert Shop,Food
41.882247,-87.631159,Building,Building,Professional & Other Places
41.789137,-87.600971,College Academic Building,College Academic Building,College & University
41.909397,-87.756505,Fast Food Restaurant,Fast Food Restaurant,Food
41.790657,-87.613701,Home (private),Home (private),Residence
41.870162,-87.633944,Parking,Parking,Professional & Other Places
41.976113,-87.654898,Building,Building,Professional & Other Places
41.877959,-87.648900,Caf,,
41.880395,-87.629115,College Cafeteria,College Cafeteria,College & University
41.884739,-87.627683,Drugstore / Pharmacy,,
41.850892,-87.773535,General Travel,General Travel,Travel & Transport
41.884023,-87.641341,Gourmet Shop,Food & Drink Shop,Shop & Service
41.869021,-87.622444,Road,Road,Travel & Transport
41.913519,-87.779238,Park,Park,Outdoors & Recreation
41.879753,-87.735511,Salon / Barbershop,Salon / Barbershop,Shop & Service
41.852668,-87.744377,Mexican Restaurant,Mexican Restaurant,Food
41.791310,-87.602415,Medical School,Medical School,College & University
41.673401,-87.675900,Arcade,Arcade,Arts & Entertainment
41.966694,-87.777575,Residential Building (Apartment / Condo),Residential Building (Apartment / Condo),Residence
41.850554,-87.724426,Grocery Store,Food & Drink Shop,Shop & Service
41.894117,-87.630406,Hospital,Medical Center,Professional & Other Places
41.889116,-87.633734,Residential Building (Apartment / Condo),Residential Building (Apartment / Condo),Residence
41.935351,-87.664073,Office,Office,Professional & Other Places
41.940178,-87.643314,Home (private),Home (private),Residence
41.902414,-87.696719,Bar,Bar,Nightlife Spot
41.983651,-87.657990,Sandwich Place,Sandwich Place,Food
41.868048,-87.629081,Gym / Fitness Center,Athletics & Sports,Outdoors & Recreation
41.740820,-87.633023,Department Store,Department Store,Shop & Service
41.757416,-87.743584,University,University,College & University
41.657322,-87.658626,Shoe Store,Clothing Store,Shop & Service
41.794992,-87.629867,Bank,Bank,Shop & Service
41.806612,-87.716172,Historic Site,Historic Site,Arts & Entertainment
41.893959,-87.632623,Spanish Restaurant,Spanish Restaurant,Food
41.887770,-87.676892,Art Gallery,Art Gallery,Arts & Entertainment
41.859458,-87.619050,Bridge,Bridge,Outdoors & Recreation
41.907200,-87.676054,Church,Spiritual Center,Professional & Other Places
41.866141,-87.719049,Gas Station / Garage,,
41.881158,-87.723753,Winery,Winery,Professional & Other Places
41.938506,-87.661723,Hostel,Hotel,Travel & Transport
42.000230,-87.672907,Home (private),Home (private),Residence
41.851063,-87.742839,Electronics Store,Electronics Store,Shop & Service
41.670770,-87.680146,Miscellaneous Shop,Miscellaneous Shop,Shop & Service
41.953796,-87.682166,Military Base,Military Base,Professional & Other Places
41.941700,-87.643784,Fraternity House,Fraternity House,College & University
41.809387,-87.611201,Other Great Outdoors,Other Great Outdoors,Outdoors & Recreation
41.978827,-87.660278,Nail Salon,Nail Salon,Shop & Service
41.920347,-87.643314,Home (private),Home (private),Residence
41.877254,-87.639441,Bus Line,Bus Station,Travel & Transport
41.721441,-87.662643,Church,Spiritual Center,Professional & Other Places
41.895785,-87.627871,Nail Salon,Nail Salon,Shop & Service
41.939973,-87.638132,Other Great Outdoors,Other Great Outdoors,Outdoors & Recreation
41.647776,-87.617642,Bus Line,Bus Station,Travel & Transport
41.891164,-87.614239,Road,Road,Travel & Transport
41.843877,-87.791089,Home (private),Home (private),Residence
41.900508,-87.643314,Home (private),Home (private),Residence
41.970673,-87.646323,Scenic Lookout,Scenic Lookout,Outdoors & Recreation
41.894961,-87.616837,Doctor's Office,Medical Center,Professional & Other Places
41.873354,-87.669655,Doctor's Office,Medical Center,Professional & Other Places
41.852709,-87.676521,Fast Food Restaurant,Fast Food Restaurant,Food
41.922469,-87.657725,Playground,Playground,Outdoors & Recreation
41.924737,-87.702162,Office,Office,Professional & Other Places
41.882100,-87.655461,Bus Station,Bus Station,Travel & Transport
41.701113,-87.613701,Home (private),Home (private),Residence
41.980594,-87.716966,College Administrative Building,College Administrative Building,College & University
41.807700,-87.726465,Convenience Store,Convenience Store,Shop & Service
41.882029,-87.632561,Coworking Space,Office,Professional & Other Places
41.901551,-87.707123,Office,Office,Professional & Other Places
41.933186,-87.641018,Historic Site,Historic Site,Arts & Entertainment
41.939860,-87.669659,Sports Bar,Bar,Nightlife Spot
41.793924,-87.621962,Office,Office,Professional & Other Places
41.809758,-87.684623,Doctor's Office,Medical Center,Professional & Other Places
41.810739,-87.623574,Home (private),Home (private),Residence
41.857693,-87.701724,Park,Park,Outdoors & Recreation
41.927191,-87.704231,Spa / Massage,,
41.721794,-87.584274,Gas Station / Garage,,
41.878171,-87.643755,Office,Office,Professional & Other Places
41.867592,-87.640324,Bank,Bank,Shop & Service
41.874614,-87.668176,Caf,,
41.876322,-87.625755,College Academic Building,College Academic Building,College & University
41.881767,-87.652306,Boutique,Clothing Store,Shop & Service
41.930681,-87.640849,Gym,Athletics & Sports,Outdoors & Recreation
41.945047,-87.647417,Temple,Spiritual Center,Professional & Other Places
41.972510,-87.713781,Vegetarian / Vegan Restaurant,Vegetarian / Vegan Restaurant,Food
41.961394,-87.712336,Home (private),Home (private),Residence
41.875577,-87.633744,Train,Train Station,Travel & Transport
41.884424,-87.630696,Caf,,
41.880664,-87.629708,Office,Office,Professional & Other Places
41.872323,-87.722187,Home (private),Home (private),Residence
41.915252,-87.634324,Hotel,Hotel,Travel & Transport
41.881639,-87.636724,Coworking Space,Office,Professional & Other Places
41.800186,-87.593949,Home (private),Home (private),Residence
41.961783,-87.732037,Home (private),Home (private),Residence
41.879088,-87.643678,Parking,Parking,Professional & Other Places
41.692795,-87.681413,Automotive Shop,Automotive Shop,Shop & Service
41.893554,-87.655529,Historic Site,Historic Site,Arts & Entertainment
41.853047,-87.751729,Home (private),Home (private),Residence
41.722363,-87.732698,Hospital,Medical Center,Professional & Other Places
41.885583,-87.649469,Convenience Store,Convenience Store,Shop & Service
41.888285,-87.800398,Neighborhood,States & Municipalities,Outdoors & Recreation
41.990117,-87.659768,Caf,,
41.958177,-87.681143,Bank,Bank,Shop & Service
41.858291,-87.646646,Hot Dog Joint,Hot Dog Joint,Food
41.923488,-87.640064,Bar,Bar,Nightlife Spot
41.994140,-87.660663,Building,Building,Professional & Other Places
41.814754,-87.703485,Student Center,Student Center,College & University
41.889188,-87.619475,Event Space,Event Space,Professional & Other Places
41.943190,-87.684229,Dance Studio,Performing Arts Venue,Arts & Entertainment
41.941736,-87.766563,Bus Line,Bus Station,Travel & Transport
41.884448,-87.624917,Art Gallery,Art Gallery,Arts & Entertainment
41.834341,-87.607513,Beach,Beach,Outdoors & Recreation
41.827582,-87.708229,Farm,Farm,Outdoors & Recreation
41.890788,-87.653180,Home (private),Home (private),Residence
41.694054,-87.739574,Car Wash,Car Wash,Shop & Service
41.872957,-87.624468,Hotel Bar,Bar,Nightlife Spot
41.829034,-87.770892,Mexican Restaurant,Mexican Restaurant,Food
41.893115,-87.634599,Nightclub,Nightclub,Nightlife Spot
41.785689,-87.630917,Neighborhood,States & Municipalities,Outdoors & Recreation
41.990382,-87.707398,Road,Road,Travel & Transport
41.890980,-87.629712,Italian Restaurant,Italian Restaurant,Food
41.658266,-87.574069,Train,Train Station,Travel & Transport
41.884331,-87.634628,Taxi,Taxi,Travel & Transport
41.716484,-87.782480,Snack Place,Snack Place,Food
41.882544,-87.669717,Hot Dog Joint,Hot Dog Joint,Food
41.794106,-87.773549,Wings Joint,Wings Joint,Food
41.799343,-87.703354,Mexican Restaurant,Mexican Restaurant,Food
41.942345,-87.751729,Home (private),Home (private),Residence
41.861227,-87.694356,Doctor's Office,Medical Center,Professional & Other Places
41.884355,-87.638401,Office,Office,Professional & Other Places
42.000030,-87.663045,Home (private),Home (private),Residence
41.930821,-87.651304,Road,Road,Travel & Transport
41.895053,-87.617387,Doctor's Office,Medical Center,Professional & Other Places
41.906294,-87.647074,Hostel,Hotel,Travel & Transport
41.929779,-87.708436,Deli / Bodega,Deli / Bodega,Food
41.916638,-87.687064,Brewery,Brewery,Nightlife Spot
41.990126,-87.663045,Home (private),Home (private),Residence
41.925352,-87.652842,Bus Station,Bus Station,Travel & Transport
41.809290,-87.677166,Cosmetics Shop,Cosmetics Shop,Shop & Service
41.986233,-87.657990,Residential Building (Apartment / Condo),Residential Building (Apartment / Condo),Residence
41.810739,-87.623574,Home (private),Home (private),Residence
41.894433,-87.668913,Other Great Outdoors,Other Great Outdoors,Outdoors & Recreation
41.870535,-87.633445,Home (private),Home (private),Residence
41.951678,-87.722187,Home (private),Home (private),Residence
41.893625,-87.635419,Event Space,Event Space,Professional & Other Places
41.893515,-87.621701,Office,Office,Professional & Other Places
41.735905,-87.646156,Chinese Restaurant,Asian Restaurant,Food
41.768783,-87.644999,Bus Line,Bus Station,Travel & Transport
41.822079,-87.692626,Home (private),Home (private),Residence
41.874027,-87.804580,Conference Room,Office,Professional & Other Places
41.722184,-87.703528,School,School,Professional & Other Places
41.961000,-87.692626,Home (private),Home (private),Residence
41.939913,-87.640101,Laundry Service,Laundry Service,Shop & Service
41.677042,-87.661338,Bridge,Bridge,Outdoors & Recreation
41.884547,-87.657187,Wine Bar,Bar,Nightlife Spot
41.972843,-87.652252,Breakfast Spot,Breakfast Spot,Food
41.935726,-87.663645,Other Nightlife,Other Nightlife,Nightlife Spot
41.841184,-87.703288,Building,Building,Professional & Other Places
41.694311,-87.771414,Home (private),Home (private),Residence
41.957026,-87.753616,General Entertainment,General Entertainment,Arts & Entertainment
41.840575,-87.755394,Factory,Factory,Professional & Other Places
41.874971,-87.653910,Bus Station,Bus Station,Travel & Transport
41.906948,-87.764300,Cosmetics Shop,Cosmetics Shop,Shop & Service
41.785278,-87.743942,Plane,Airport,Travel & Transport
41.881955,-87.666929,College Classroom,College Classroom,College & University
41.877217,-87.641977,Wine Bar,Bar,Nightlife Spot
41.886017,-87.632146,Office,Office,Professional & Other Places
41.957855,-87.669365,Hospital,Medical Center,Professional & Other Places
41.925776,-87.723791,Office,Office,Professional & Other Places
41.890010,-87.629785,Lounge,Lounge,Nightlife Spot
41.740239,-87.719400,Neighborhood,States & Municipalities,Outdoors & Recreation
41.887764,-87.635062,Arts & Crafts Store,Arts & Crafts Store,Shop & Service
41.899201,-87.625152,Restaurant,Restaurant,Food
41.792657,-87.712336,Home (private),Home (private),Residence
41.989519,-87.659464,African Restaurant,African Restaurant,Food
41.860404,-87.623574,Home (private),Home (private),Residence
41.887790,-87.765001,Bus Station,Bus Station,Travel & Transport
41.794004,-87.781252,Home (private),Home (private),Residence
41.754664,-87.724917,Parking,Parking,Professional & Other Places
41.839013,-87.608771,Park,Park,Outdoors & Recreation
41.683714,-87.720011,Residential Building (Apartment / Condo),Residential Building (Apartment / Condo),Residence
41.869643,-87.618515,Park,Park,Outdoors & Recreation
41.707636,-87.643726,Salon / Barbershop,Salon / Barbershop,Shop & Service
41.875992,-87.626126,Concert Hall,Concert Hall,Arts & Entertainment
41.858796,-87.655322,Road,Road,Travel & Transport
41.839167,-87.665263,Electronics Store,Electronics Store,Shop & Service
41.990126,-87.663045,Home (private),Home (private),Residence
41.779551,-87.658221,Monument / Landmark,Government Building,Professional & Other Places
41.887968,-87.667387,Event Space,Event Space,Professional & Other Places
41.740608,-87.653323,Church,Spiritual Center,Professional & Other Places
41.889705,-87.708022,High School,School,Professional & Other Places
41.940120,-87.642767,Other Great Outdoors,Other Great Outdoors,Outdoors & Recreation
41.940178,-87.643314,Home (private),Home (private),Residence
41.889977,-87.613701,Home (private),Home (private),Residence
41.943133,-87.708471,Storage Facility,Storage Facility,Shop & Service
41.889436,-87.623369,Bar,Bar,Nightlife Spot
41.829921,-87.698386,Park,Park,Outdoors & Recreation
41.962804,-87.673695,Martial Arts Dojo,Athletics & Sports,Outdoors & Recreation
41.881810,-87.644164,Laundry Service,Laundry Service,Shop & Service
41.910558,-87.676531,New American Restaurant,American Restaurant,Food
41.853395,-87.736968,Factory,Factory,Professional & Other Places
41.707608,-87.712622,College Classroom,College Classroom,College & University
41.961452,-87.683815,Office,Office,Professional & Other Places
41.860607,-87.633445,Home (private),Home (private),Residence
41.786562,-87.666057,Building,Building,Professional & Other Places
41.894842,-87.758437,Nail Salon,Nail Salon,Shop & Service
41.996391,-87.663404,Residential Building (Apartment / Condo),Residential Building (Apartment / Condo),Residence
41.888593,-87.629640,American Restaurant,American Restaurant,Food
41.869292,-87.662547,American Restaurant,American Restaurant,Food
41.754960,-87.766366,Dog Run,Dog Run,Outdoors & Recreation
41.851822,-87.685854,Bus Station,Bus Station,Travel & Transport
41.882292,-87.636614,Office,Office,Professional & Other Places
41.736972,-87.575512,General Travel,General Travel,Travel & Transport
41.948447,-87.643594,Bus Station,Bus Station,Travel & Transport
41.898207,-87.664906,Gym,Athletics & Sports,Outdoors & Recreation
41.939316,-87.727254,Wings Joint,Wings Joint,Food
41.995078,-87.699424,American Restaurant,American Restaurant,Food
41.930665,-87.663045,Home (private),Home (private),Residence
41.772545,-87.614436,Car Wash,Car Wash,Shop & Service
41.891308,-87.619865,Hotel,Hotel,Travel & Transport
41.908525,-87.649162,Gym,Athletics & Sports,Outdoors & Recreation
41.705799,-87.653082,Bus Station,Bus Station,Travel & Transport
41.737456,-87.600287,Train Station,Train Station,Travel & Transport
41.729998,-87.601998,Train Station,Train Station,Travel & Transport
41.910881,-87.835695,Gas Station / Garage,,
41.674046,-87.652069,Train Station,Train Station,Travel & Transport
41.783104,-87.732037,Home (private),Home (private),Residence
41.757588,-87.736872,Accessories Store,Clothing Store,Shop & Service
41.964248,-87.657080,Office,Office,Professional & Other Places
41.931385,-87.766818,Neighborhood,States & Municipalities,Outdoors & Recreation
41.980221,-87.663045,Home (private),Home (private),Residence
41.837971,-87.612551,School,School,Professional & Other Places
41.898155,-87.624088,Candy Store,Candy Store,Shop & Service
41.754585,-87.719871,Mall,,
41.884467,-87.662551,Asian Restaurant,Asian Restaurant,Food
41.875892,-87.633635,Factory,Factory,Professional & Other Places
41.885268,-87.653510,Fair,Fair,Professional & Other Places
41.854235,-87.626030,General Entertainment,General Entertainment,Arts & Entertainment
41.879648,-87.639095,Building,Building,Professional & Other Places
41.830443,-87.675895,Office,Office,Professional & Other Places
41.809628,-87.616160,Monument / Landmark,Government Building,Professional & Other Places
41.891927,-87.636502,Electronics Store,Electronics Store,Shop & Service
41.680380,-87.778144,Automotive Shop,Automotive Shop,Shop & Service
41.908672,-87.748896,Gym,Athletics & Sports,Outdoors & Recreation
41.982559,-87.659951,Asian Restaurant,Asian Restaurant,Food
41.891666,-87.618303,Gym / Fitness Center,Athletics & Sports,Outdoors & Recreation
41.866458,-87.612691,Historic Site,Historic Site,Arts & Entertainment
41.931841,-87.711963,Bus Station,Bus Station,Travel & Transport
41.972787,-87.665879,Other Great Outdoors,Other Great Outdoors,Outdoors & Recreation
41.848433,-87.803783,Men's Store,Clothing Store,Shop & Service
41.888613,-87.636686,Coworking Space,Office,Professional & Other Places
41.749723,-87.702118,Bus Station,Bus Station,Travel & Transport
41.896291,-87.667343,Hot Dog Joint,Hot Dog Joint,Food
41.950493,-87.663045,Home (private),Home (private),Residence
41.853352,-87.650253,General Entertainment,General Entertainment,Arts & Entertainment
41.655617,-87.584858,Mountain,Mountain,Outdoors & Recreation
41.892259,-87.628127,Plaza,Plaza,Outdoors & Recreation
41.844709,-87.611409,Strip Club,Strip Club,Nightlife Spot
41.920727,-87.693682,Thai Restaurant,Asian Restaurant,Food
41.970513,-87.672907,Home (private),Home (private),Residence
41.891565,-87.617792,Residential Building (Apartment / Condo),Residential Building (Apartment / Condo),Residence
41.809980,-87.623734,General Entertainment,General Entertainment,Arts & Entertainment
41.862645,-87.667425,Grocery Store,Food & Drink Shop,Shop & Service
41.922514,-87.751729,Home (private),Home (private),Residence
41.898319,-87.623557,Jewelry Store,Jewelry Store,Shop & Service
41.946213,-87.705025,Hockey Arena,Stadium,Arts & Entertainment
41.706719,-87.528480,Casino,Casino,Arts & Entertainment
41.694279,-87.516074,Casino,Casino,Arts & Entertainment
41.858216,-87.660909,Mexican Restaurant,Mexican Restaurant,Food
41.714973,-87.681451,Doctor's Office,Medical Center,Professional & Other Places
41.887890,-87.636816,Building,Building,Professional & Other Places
41.786460,-87.738819,Bus Line,Bus Station,Travel & Transport
41.876662,-87.631780,Pub,Bar,Nightlife Spot
41.663123,-87.661082,Gas Station / Garage,,
41.677905,-87.630238,Bus Line,Bus Station,Travel & Transport
41.899959,-87.627992,Boutique,Clothing Store,Shop & Service
41.765667,-87.619527,Residential Building (Apartment / Condo),Residential Building (Apartment / Condo),Residence
41.967792,-87.760407,Liquor Store,Food & Drink Shop,Shop & Service
41.884290,-87.648823,New American Restaurant,American Restaurant,Food
41.893029,-87.638654,Gym,Athletics & Sports,Outdoors & Recreation
41.800952,-87.685273,Taco Place,Mexican Restaurant,Food
41.800010,-87.742478,Car Wash,Car Wash,Shop & Service
41.964778,-87.657682,College Administrative Building,College Administrative Building,College & University
41.943947,-87.663624,Gym,Athletics & Sports,Outdoors & Recreation
41.908289,-87.634498,Pizza Place,Pizza Place,Food
41.924724,-87.695987,Peruvian Restaurant,Latin American Restaurant,Food
41.924541,-87.714402,Other Nightlife,Other Nightlife,Nightlife Spot
41.903201,-87.683112,Doctor's Office,Medical Center,Professional & Other Places
41.945128,-87.649591,Smoke Shop,Smoke Shop,Shop & Service
41.800597,-87.613701,Home (private),Home (private),Residence
41.980221,-87.663045,Home (private),Home (private),Residence
41.958918,-87.788911,College Science Building,College Academic Building,College & University
41.722635,-87.740732,Light Rail,,
41.886695,-87.648838,Deli / Bodega,Deli / Bodega,Food
41.878118,-87.636016,Coffee Shop,Coffee Shop,Food
41.663415,-87.660631,Salon / Barbershop,Salon / Barbershop,Shop & Service
41.780833,-87.683839,Convenience Store,Convenience Store,Shop & Service
41.847952,-87.617560,Bridge,Bridge,Outdoors & Recreation
41.912787,-87.761573,Home (private),Home (private),Residence
41.941743,-87.655090,Tanning Salon,Tanning Salon,Shop & Service
41.701256,-87.523997,Arcade,Arcade,Arts & Entertainment
41.896510,-87.633105,College Residence Hall,College Residence Hall,College & University
41.909692,-87.702061,Park,Park,Outdoors & Recreation
41.820372,-87.805314,Residential Building (Apartment / Condo),Residential Building (Apartment / Condo),Residence
41.795108,-87.618366,Bus Station,Bus Station,Travel & Transport
41.940632,-87.642179,Stadium,Stadium,Arts & Entertainment
41.930105,-87.643336,Library,Library,Professional & Other Places
41.965834,-87.736653,Salon / Barbershop,Salon / Barbershop,Shop & Service
41.998283,-87.659975,Coffee Shop,Coffee Shop,Food
41.879707,-87.626106,Stable,,
41.976520,-87.768932,Bar,Bar,Nightlife Spot
41.830769,-87.645561,Hot Dog Joint,Hot Dog Joint,Food
41.947849,-87.647392,Hot Dog Joint,Hot Dog Joint,Food
41.855305,-87.695713,Building,Building,Professional & Other Places
41.886369,-87.621663,Hotel,Hotel,Travel & Transport
41.940780,-87.672907,Home (private),Home (private),Residence
41.909458,-87.755654,Building,Building,Professional & Other Places
